Ethereum,Ethereum,Ethereum
Date,Price,Volume
1/11/2017,9.81,2340175
1/12/2017,9.78,1201195
1/13/2017,9.78,610220
1/14/2017,9.88,466935
1/15/2017,9.59,857365
1/16/2017,10.14,2847715
1/17/2017,10.19,1986053
1/18/2017,10.43,1181087
1/19/2017,10.6,1630007
1/20/2017,10.91,1663670
1/21/2017,10.71,1443235
1/22/2017,10.78,1035512
1/23/2017,10.51,1330265
1/24/2017,10.51,864774
1/25/2017,10.65,940417
1/26/2017,10.51,1060899
1/27/2017,10.54,764915
1/28/2017,10.47,412832
1/29/2017,10.62,1369992
1/30/2017,10.71,2020510
1/31/2017,10.71,2367496
2/1/2017,10.78,2738130
2/2/2017,10.95,2590189
2/3/2017,11.32,2507121
2/4/2017,11.22,904300
2/5/2017,11.32,970692
2/6/2017,11.45,1481700
2/7/2017,11.39,1842031
2/8/2017,10.94,3312153
2/9/2017,11.34,1955534
2/10/2017,11.43,1131595
2/11/2017,11.42,679904
2/12/2017,11.39,1044736
2/13/2017,13,8633943
2/14/2017,12.97,3998609
2/15/2017,12.95,26181931
2/16/2017,12.72,2015038
2/17/2017,12.83,1270318
2/18/2017,12.82,1028415
2/19/2017,12.52,1980817
2/20/2017,12.77,2738193
2/21/2017,12.69,1724079
2/22/2017,13.13,2869257
2/23/2017,13.11,3472766
2/24/2017,13.57,3554709
2/25/2017,14.59,4621619
2/26/2017,15.55,8252909
2/27/2017,16.07,19857331
2/28/2017,17.549999,13731714
3/1/2017,19.08,19994584
3/2/2017,19.48,24152328
3/3/2017,18.610001,7413157
3/4/2017,19.219999,5782306
3/5/2017,19.75,10247940
3/6/2017,18.91,11143090
3/7/2017,16.540001,13176714
3/8/2017,17.709999,9124768
3/9/2017,19.129999,25211751
3/10/2017,21.450001,16305702
3/11/2017,23.309999,18139890
3/12/2017,28.450001,62404918
3/13/2017,28.58,20686242
3/14/2017,35.18,41558801
3/15/2017,45.509998,110340100
3/16/2017,44.48,126403905
3/17/2017,34,78375178
3/18/2017,43.119999,66179861
3/19/2017,42.509998,36051939
3/20/2017,42.669998,20719388
3/21/2017,41.650002,24709533
3/22/2017,43.200001,23891682
3/23/2017,53.189999,73808171
3/24/2017,50.619999,54975694
3/25/2017,50.630001,23147171
3/26/2017,49.060001,24298571
3/27/2017,50.25,22561201
3/28/2017,53.07,38472526
3/29/2017,51.91,21489377
3/30/2017,49.91,37271970
3/31/2017,50.599998,16332366
4/1/2017,48.549999,29315614
4/2/2017,44.130001,44841678
4/3/2017,44.43,30705300
4/4/2017,44.900002,21702217
4/5/2017,43.23,23956305
4/6/2017,42.310001,12658079
4/7/2017,44.369999,12638180
4/8/2017,43.720001,7984771
4/9/2017,43.740002,9252478
4/10/2017,43.740002,6477981
4/11/2017,46.380001,22030599
4/12/2017,49.970001,28170249
4/13/2017,47.32,15807873
4/14/2017,48.889999,10687561
4/15/2017,48.220001,4563693
4/16/2017,47.939999,8322156
4/17/2017,49.880001,22065841
4/18/2017,47.880001,19057555
4/19/2017,49.360001,15519870
4/20/2017,48.27,9824903
4/21/2017,48.41,7451077
4/22/2017,48.75,8709584
4/23/2017,49.939999,12211894
4/24/2017,50.09,8566119
4/25/2017,53.279999,28727738
4/26/2017,63.139999,45226868
4/27/2017,72.419998,71238627
4/28/2017,69.830002,38785700
4/29/2017,79.830002,45723362
4/30/2017,77.529999,99260395
5/1/2017,77.25,43090049
5/2/2017,80.370003,38833085
5/3/2017,94.550003,84572615
5/4/2017,90.790001,72828175
5/5/2017,94.82,30584898
5/6/2017,90.459999,45495746
5/7/2017,88.389999,50131802
5/8/2017,86.269997,63784971
5/9/2017,87.830002,28478144
5/10/2017,88.199997,32402025
5/11/2017,85.150002,37700850
5/12/2017,87.959999,18579547
5/13/2017,88.720001,14701160
5/14/2017,90.32,50259306
5/15/2017,87.800003,38782037
5/16/2017,86.980003,39565758
5/17/2017,95.879997,46394766
5/18/2017,124.379997,130687977
5/19/2017,123.059998,63750018
5/20/2017,148,110402028
5/21/2017,160.389999,274191653
5/22/2017,169.5,114242328
5/23/2017,193.029999,175438578
5/24/2017,177.330002,238787495
5/25/2017,162.830002,180297613
5/26/2017,156.630005,220037050
5/27/2017,172.860001,127225150
5/28/2017,194.169998,117364507
5/29/2017,228.580002,259513540
5/30/2017,228.639999,225740686
5/31/2017,220.699997,188744370
6/1/2017,222.039993,89635792
6/2/2017,224.300003,55938007
6/3/2017,244.960007,123696111
6/4/2017,247.75,83061054
6/5/2017,264.26001,189040588
6/6/2017,255.770004,115588722
6/7/2017,259.410004,90124852
6/8/2017,279.109985,121471877
6/9/2017,335.950012,286877358
6/10/2017,339.679993,215135870
6/11/2017,394.660004,549683393
6/12/2017,388.089996,260123720
6/13/2017,343.839996,348212541
6/14/2017,344.679993,602112721
6/15/2017,353.609985,223997348
6/16/2017,368.100006,134453789
6/17/2017,351.529999,162855868
6/18/2017,358.200012,106180717
6/19/2017,350.529999,201343473
6/20/2017,325.299988,305462617
6/21/2017,320.970001,155828144
6/22/2017,326.850006,78597250
6/23/2017,304.540009,114491120
6/24/2017,279.359985,222961091
6/25/2017,253.679993,444174618
6/26/2017,286.140015,346738914
6/27/2017,315.859985,366875067
6/28/2017,292.899994,249819374
6/29/2017,280.679993,205409173
6/30/2017,261,214127111
7/1/2017,283.98999,189730463
7/2/2017,276.410004,139887958
7/3/2017,269.049988,141480666
7/4/2017,266,162838117
7/5/2017,265.880005,106470793
7/6/2017,240.940002,171183446
7/7/2017,245.669998,139823006
7/8/2017,237.720001,76538488
7/9/2017,205.759995,274808713
7/10/2017,190.550003,368656185
7/11/2017,224.149994,289483936
7/12/2017,205.410004,196303864
7/13/2017,197.139999,181470096
7/14/2017,169.100006,176484014
7/15/2017,155.419998,374176884
7/16/2017,189.970001,352420261
7/17/2017,227.089996,642203465
7/18/2017,194.410004,576048989
7/19/2017,226.330002,504434488
7/20/2017,216.330002,233383296
7/21/2017,230.470001,151128752
7/22/2017,228.320007,128301932
7/23/2017,225.479996,90165893
7/24/2017,203.589996,285374761
7/25/2017,202.880005,161659275
7/26/2017,202.929993,102009361
7/27/2017,191.210007,123425467
7/28/2017,206.139999,192325102
7/29/2017,196.779999,110586575
7/30/2017,201.330002,103641349
7/31/2017,225.899994,314260050
8/1/2017,218.119995,122967812
8/2/2017,224.389999,93201219
8/3/2017,220.600006,87804496
8/4/2017,253.089996,251531536
8/5/2017,264.559998,219315844
8/6/2017,269.940002,158590573
8/7/2017,296.51001,229459233
8/8/2017,295.279999,439031586
8/9/2017,298.279999,173781086
8/10/2017,309.320007,146799311
