Bitcoin,Bitcoin,Bitcoin
Date,Price,Volume
12/20/2014,322.630005,6746131
12/21/2014,330.839996,11694687
12/22/2014,335.25,8057502
12/23/2014,322.399994,7112691
12/24/2014,318.98999,4926116
12/25/2014,329.980011,7518851
12/26/2014,315.339996,6940336
12/27/2014,316.529999,6482718
12/28/2014,314.119995,6457547
12/29/2014,311.269989,7163083
12/30/2014,318.23999,6472822
12/31/2014,314.890015,4073067
1/1/2015,315.209991,4673971
1/2/2015,287.130005,14209564
1/3/2015,264.720001,24255392
1/4/2015,274.839996,14995382
1/5/2015,282.269989,6097640
1/6/2015,291.339996,8827164
1/7/2015,282.690002,5796312
1/8/2015,287.970001,5963203
1/9/2015,273.350006,4147357
1/10/2015,264.769989,4122751
1/11/2015,269.329987,6899315
1/12/2015,221.289993,22745960
1/13/2015,164.919998,32911586
1/14/2015,209.779999,25672423
1/15/2015,206.919998,13208882
1/16/2015,199.649994,8685194
1/17/2015,210.619995,8429486
1/18/2015,215.869995,6744459
1/19/2015,210.550003,7926400
1/20/2015,228.169998,9390361
1/21/2015,232.699997,12508308
1/22/2015,232.169998,8855407
1/23/2015,248.160004,8011743
1/24/2015,252.089996,12509649
1/25/2015,269.179993,29806496
1/26/2015,263.269989,13130803
1/27/2015,236.169998,15880595
1/28/2015,233.990005,12723448
1/29/2015,231.839996,11316575
1/30/2015,218.509995,9645307
1/31/2015,225.289993,9058010
2/1/2015,238.860001,8965813
2/2/2015,227.410004,15000263
2/3/2015,226.580002,12495299
2/4/2015,216.520004,9055713
2/5/2015,222.960007,11628519
2/6/2015,227.679993,9046632
2/7/2015,223.669998,6564922
2/8/2015,220.339996,20192733
2/9/2015,219.669998,18877297
2/10/2015,218.830002,15909377
2/11/2015,221.789993,11084499
2/12/2015,236.169998,26243104
2/13/2015,258.640015,33313626
2/14/2015,233.270004,43921119
2/15/2015,235.830002,27187677
2/16/2015,243.199997,27926884
2/17/2015,235.199997,23813015
2/18/2015,241.919998,15852470
2/19/2015,244.520004,20434846
2/20/2015,244.410004,10570761
2/21/2015,235.729996,18107359
2/22/2015,238.820007,14856549
2/23/2015,238.889999,10787951
2/24/2015,237.330002,9092357
2/25/2015,236.529999,12064967
2/26/2015,253.470001,42282820
2/27/2015,254.059998,9999594
2/28/2015,257.940002,12964061
3/1/2015,273.75,21562624
3/2/2015,280.649994,45650597
3/3/2015,271.920013,38656923
3/4/2015,275.230011,33599454
3/5/2015,272.559998,27014943
3/6/2015,274.910004,16708000
3/7/2015,274.48999,13902830
3/8/2015,290.019989,43259194
3/9/2015,291.369995,46657647
3/10/2015,295.600006,23542829
3/11/2015,293.850006,31607747
3/12/2015,287.209991,28288614
3/13/2015,281.600006,21495879
3/14/2015,284.880005,11238833
3/15/2015,290.410004,19355605
3/16/2015,285.380005,18775700
3/17/2015,255.919998,55391241
3/18/2015,260.929993,46525086
3/19/2015,261.779999,13853175
3/20/2015,259.709991,13413360
3/21/2015,268.570007,14980752
3/22/2015,265.459991,21749937
3/23/2015,246.720001,38033136
3/24/2015,246.369995,32092197
3/25/2015,248.020004,22412560
3/26/2015,247.210007,15543779
3/27/2015,252.020004,13890988
3/28/2015,242.080002,18971340
3/29/2015,246.789993,20963830
3/30/2015,244.149994,18515676
3/31/2015,246.240005,16412525
4/1/2015,252.600006,20354036
4/2/2015,254.479996,18264452
4/3/2015,252.889999,7805160
4/4/2015,259.640015,11277271
4/5/2015,254.970001,11857398
4/6/2015,252.970001,11401051
4/7/2015,244.570007,25401433
4/8/2015,243.320007,16846896
4/9/2015,234.729996,23728422
4/10/2015,236.479996,12319489
